fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_engagementid,Engagement,lookup,required,True,2025-06-13 19:12:37,,true,1,0,0,0,0,4,0,4,0,1,0,,,,,,
azt_engagementresearchid,Engagement Research,primarykey,systemrequired,False,2025-06-13 19:12:37,,true,0,7,0,0,0,0,0,0,0,0,0,,,,,,
azt_name,Description,nvarchar,required,True,2025-06-13 19:12:37,,true,3,12,0,0,0,9,0,18,0,0,0,,,,,,
azt_researchsummary,Research Summary,ntext,none,True,2025-06-13 19:12:37,,true,1,1,0,0,0,0,0,0,0,0,0,,,,,,
createdby,Created By,lookup,none,False,2025-06-13 19:12:37,,true,0,0,0,0,0,25,0,0,0,1,0,,,,,,
createdon,Created On,datetime,none,False,Skipped (createdon),,true,1,6,0,0,0,7,0,10,0,0,0,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
modifiedby,Modified By,lookup,none,False,2025-06-13 19:12:37,,true,0,0,0,0,0,2,0,0,0,1,0,,,,,,
modifiedon,Modified On,datetime,none,False,Skipped (modifiedon),,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,2023-01-18 21:55:58,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ownerid,Owner,owner,systemrequired,False,2025-06-13 19:12:37,,true,4,1,0,0,0,24,0,22,0,1,0,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,2025-06-13 19:12:37,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
owningteam,Owning Team,lookup,none,False,Never,,true,0,0,0,0,0,1,0,1,0,1,0,,,,,,
owninguser,Owning User,lookup,none,False,2025-06-13 19:12:37,,true,0,0,0,0,0,0,0,1,0,1,0,,,,,,
statecode,Status,state,systemrequired,False,2025-06-13 19:12:37,,true,0,6,0,0,0,10,0,20,0,0,0,,,,,,
statuscode,Status Reason,status,none,False,2025-06-13 19:12:37,,true,1,0,0,0,0,5,0,6,0,0,0,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
